"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","MaxGrowthRate","TimeMaxGrowthRate","AbsMaxGrowthRate","AUC_index","RGI","MaxGrowthRate_index"
"152B_100_TY_1","100_TY",NA,"152B","OA","152B_100_TY",1,10.18575,0.3644,0.3644,0.00630208333333333,24,0.0644,1.23970035173983,1.29357472488463,1.57142857142857
"152B_100_TY_2","100_TY",NA,"152B","OA","152B_100_TY",2,9.95025000000001,0.3538,0.3538,0.00612291666666667,24,0.0628,1.16638435794792,1.17619680851064,1.42393410852713
"152B_100_TY_3","100_TY",NA,"152B","OA","152B_100_TY",3,9.47794999999999,0.3491,0.3491,0.00617083333333333,48,0.285,1.20196185355213,1.24723115398357,1.45696015740285
"152B_100_TY_4","100_TY",NA,"152B","OA","152B_100_TY",4,9.07245,0.3409,0.3409,0.00611041666666667,48,0.2753,1.178400950779,1.22098853868195,1.42864101315149
"152B_100_TY_5","100_TY",NA,"152B","OA","152B_100_TY",5,8.56895,0.334,0.334,0.00612083333333333,48,0.2635,1.10812313700641,1.18230088495575,1.43037974683544
"147A_100_TY_1","100_TY",NA,"147A","OC","147A_100_TY",1,8.21275,0.3342,0.3342,0.00613541666666667,48,0.2512,1.41113755272812,1.48467347845402,1.57739689341189
"147A_100_TY_2","100_TY",NA,"147A","OC","147A_100_TY",2,7.4901,0.3235,0.3235,0.00616875,48,0.2318,1.31107396353898,1.47045454545455,1.61011419249592
"147A_100_TY_3","100_TY",NA,"147A","OC","147A_100_TY",3,7.96935,0.3291,0.3291,0.00612708333333333,48,0.2433,1.41050442477876,1.52785515320334,1.64209938581798
"147A_100_TY_4","100_TY",NA,"147A","OC","147A_100_TY",4,7.76465,0.3266,0.3266,0.00615,48,0.2397,1.31116439686252,1.55597903763697,1.65749578888265
"147A_100_TY_5","100_TY",NA,"147A","OC","147A_100_TY",5,8.8302,0.3416,0.3416,0.00607916666666667,48,0.265,1.53178423668393,1.60526315789474,1.66647629925757
"137B_100_TY_1","100_TY",NA,"137B","OA","137B_100_TY",1,9.93835,0.3529,0.3529,0.00621875,24,0.0598,1.68878825468572,1.60045351473923,1.60916442048517
"137B_100_TY_2","100_TY",NA,"137B","OA","137B_100_TY",2,9.8714,0.3541,0.3541,0.00611458333333333,48,0.2932,1.63918201971057,1.57377777777778,1.56117021276596
"137B_100_TY_3","100_TY",NA,"137B","OA","137B_100_TY",3,9.54445,0.3501,0.3501,0.00610833333333333,48,0.2884,1.60748631578947,1.5484298982751,1.50204918032787
"137B_100_TY_4","100_TY",NA,"137B","OA","137B_100_TY",4,9.5945,0.3501,0.3501,0.00601458333333333,48,0.287,1.58754715732345,1.53957783641161,1.50914793518035
