"inoc_sup_strain_rep","supernatant","sup_geno","inoculant","inoc_geno","inoc_sup_strain","rep","AUC","MaxOD","OD_62h","AUC_index","RGI"
"152B_100_TY_1","100_TY",NA,"152B","OA","152B_100_TY",1,10.18575,0.3644,0.3644,1.23970035173983,1.29357472488463
"152B_100_TY_2","100_TY",NA,"152B","OA","152B_100_TY",2,9.95025000000001,0.3538,0.3538,1.16638435794792,1.17619680851064
"152B_100_TY_3","100_TY",NA,"152B","OA","152B_100_TY",3,9.47794999999999,0.3491,0.3491,1.20196185355213,1.24723115398357
"152B_100_TY_4","100_TY",NA,"152B","OA","152B_100_TY",4,9.07245,0.3409,0.3409,1.178400950779,1.22098853868195
"152B_100_TY_5","100_TY",NA,"152B","OA","152B_100_TY",5,8.56895,0.334,0.334,1.10812313700641,1.18230088495575
"147A_100_TY_1","100_TY",NA,"147A","OC","147A_100_TY",1,8.21275,0.3342,0.3342,1.41113755272812,1.48467347845402
"147A_100_TY_2","100_TY",NA,"147A","OC","147A_100_TY",2,7.4901,0.3235,0.3235,1.31107396353898,1.47045454545455
"147A_100_TY_3","100_TY",NA,"147A","OC","147A_100_TY",3,7.96935,0.3291,0.3291,1.41050442477876,1.52785515320334
"147A_100_TY_4","100_TY",NA,"147A","OC","147A_100_TY",4,7.76465,0.3266,0.3266,1.31116439686252,1.55597903763697
"147A_100_TY_5","100_TY",NA,"147A","OC","147A_100_TY",5,8.8302,0.3416,0.3416,1.53178423668393,1.60526315789474
"137B_100_TY_1","100_TY",NA,"137B","OA","137B_100_TY",1,9.93835,0.3529,0.3529,1.68878825468572,1.60045351473923
"137B_100_TY_2","100_TY",NA,"137B","OA","137B_100_TY",2,9.8714,0.3541,0.3541,1.63918201971057,1.57377777777778
"137B_100_TY_3","100_TY",NA,"137B","OA","137B_100_TY",3,9.54445,0.3501,0.3501,1.60748631578947,1.5484298982751
"137B_100_TY_4","100_TY",NA,"137B","OA","137B_100_TY",4,9.5945,0.3501,0.3501,1.58754715732345,1.53957783641161
"137B_100_TY_5","100_TY",NA,"137B","OA","137B_100_TY",5,9.52815,0.3507,0.3507,1.46795824827639,1.54018445322793
"158_100_TY_1","100_TY",NA,"158","OC","158_100_TY",1,7.3458,0.2967,0.2967,1.30657038170111,1.41690544412607
"158_100_TY_2","100_TY",NA,"158","OC","158_100_TY",2,7.22755,0.2916,0.2916,1.14945608957028,1.3703007518797
"158_100_TY_3","100_TY",NA,"158","OC","158_100_TY",3,6.0368,0.2709,0.2709,1.02134283031477,1.27783018867925
"158_100_TY_4","100_TY",NA,"158","OC","158_100_TY",4,7.75465,0.3009,0.3009,1.24506687218021,1.37901008249313
"158_100_TY_5","100_TY",NA,"158","OC","158_100_TY",5,7.81395,0.3031,0.3031,1.13284234485658,1.35858359480054
"152A_100_TY_1","100_TY",NA,"152A","OA","152A_100_TY",1,10.216,0.3592,0.3592,1.70893275342924,1.56993006993007
"152A_100_TY_2","100_TY",NA,"152A","OA","152A_100_TY",2,9.66000000000001,0.3574,0.3574,1.52646424423428,1.49979018044482
"152A_100_TY_3","100_TY",NA,"152A","OA","152A_100_TY",3,9.96875,0.3598,0.3598,1.59519142297076,1.56843940714908
"152A_100_TY_4","100_TY",NA,"152A","OA","152A_100_TY",4,9.82675,0.3614,0.3614,1.48337258098602,1.45140562248996
"152A_100_TY_5","100_TY",NA,"152A","OA","152A_100_TY",5,10.34535,0.3701,0.3701,1.58531203309964,1.52179276315789
"170C_100_TY_1","100_TY",NA,"170C","OC","170C_100_TY",1,7.6985,0.3211,0.3211,1.49927942665732,1.49627213420317
"170C_100_TY_2","100_TY",NA,"170C","OC","170C_100_TY",2,7.8854,0.3185,0.3185,1.36521264900146,1.37998266897747
"170C_100_TY_3","100_TY",NA,"170C","OC","170C_100_TY",3,7.39955,0.3096,0.3096,1.60901756980082,1.53571428571429
"170C_100_TY_4","100_TY",NA,"170C","OC","170C_100_TY",4,7.82515,0.3181,0.3181,1.52781248779726,1.49272641952135
"170C_100_TY_5","100_TY",NA,"170C","OC","170C_100_TY",5,7.81475,0.3175,0.3175,1.65700139943174,1.56326932545544
"145B_100_TY_1","100_TY",NA,"145B","OA","145B_100_TY",1,10.4208,0.3499,0.3499,1.64483975092535,1.69361084220716
"145B_100_TY_2","100_TY",NA,"145B","OA","145B_100_TY",2,10.73235,0.3652,0.3652,1.54771930836566,1.66
"145B_100_TY_3","100_TY",NA,"145B","OA","145B_100_TY",3,10.19535,0.356,0.356,1.70352640417053,1.71814671814672
"145B_100_TY_4","100_TY",NA,"145B","OA","145B_100_TY",4,9.65735,0.3547,0.3547,1.486558043239,1.66917647058824
"145B_100_TY_5","100_TY",NA,"145B","OA","145B_100_TY",5,10.4809,0.3705,0.3705,1.75137022926275,1.84053651266766
"157B_100_TY_1","100_TY",NA,"157B","OC","157B_100_TY",1,7.6933,0.3145,0.3145,1.30959818198841,1.47721935180836
