"","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"1","OA","OA",90,4.1993,0,6.72006683763243,0.708357241182781,1.40749074987122
"2","OA","OC",105,8.09240952380952,10.544,7.22638932036766,0.70522338649013,1.39848443996386
"3","OA","OE",75,8.91341333333333,10.753,7.62862005709391,0.880877168701709,1.75518607254999
"4","OA","CC",90,6.64212222222222,6.7695,6.75861700470995,0.712420785587614,1.41556492604812
"5","OC","OA",120,0,0,0,0,0
"6","OC","OC",140,0,0,0,0,0
"7","OC","OE",100,0,0,0,0,0
"8","OC","CC",120,0,0,0,0,0
"9","OE","OA",90,0,0,0,0,0
"10","OE","OC",105,0.294238095238095,0,0.72987630042317,0.0712286334826377,0.141249053156226
"11","OE","OE",75,0.249213333333333,0,0.703175102050794,0.0811956668912936,0.161785897901125
"12","OE","CC",90,0.364933333333333,0,0.913214532310164,0.0962612638155182,0.191269080788989
"13","CC","OA",108,0,0,0,0,0
"14","CC","OC",126,0,0,0,0,0
"15","CC","OE",90,0.287222222222222,0,0.947345454803357,0.099858978939557,0.198417664107346
"16","CC","CC",108,0,0,0,0,0
