"","time","supernatant","inoculant","N","OD","median","sd","se","ci"
"1",0,"100% TY","122A",5,0,0,0,0,0
"2",0,"100% TY","126B",5,0,0,0,0,0
"3",0,"100% TY","135A",5,0,0,0,0,0
"4",0,"100% TY","135B",5,0,0,0,0,0
"5",0,"100% TY","137B",5,0,0,0,0,0
"6",0,"100% TY","144A",5,0,0,0,0,0
"7",0,"100% TY","145B",5,0,0,0,0,0
"8",0,"100% TY","147A",5,0,0,0,0,0
"9",0,"100% TY","149A",5,0,0,0,0,0
"10",0,"100% TY","152A",5,0,0,0,0,0
"11",0,"100% TY","152B",5,0,0,0,0,0
"12",0,"100% TY","154C",5,0,0,0,0,0
"13",0,"100% TY","157B",5,0,0,0,0,0
"14",0,"100% TY","158",5,0,0,0,0,0
"15",0,"100% TY","159",5,0,0,0,0,0
"16",0,"100% TY","165A",5,0,0,0,0,0
"17",0,"100% TY","168A",5,0,0,0,0,0
"18",0,"100% TY","170C",5,0,0,0,0,0
"19",0,"100% TY","41",5,0,0,0,0,0
"20",0,"100% TY","53",5,0,0,0,0,0
"21",0,"100% TY","57",5,0,0,0,0,0
"22",0,"100% TY","67",5,0,0,0,0,0
"23",0,"100% TY","74",5,0,0,0,0,0
"24",0,"100% TY","77",5,0,0,0,0,0
"25",0,"122A","122A",5,0,0,0,0,0
"26",0,"122A","126B",5,0,0,0,0,0
"27",0,"122A","135A",5,0,0,0,0,0
"28",0,"122A","135B",5,0,0,0,0,0
"29",0,"122A","137B",5,0,0,0,0,0
"30",0,"122A","144A",5,0,0,0,0,0
"31",0,"122A","145B",5,0,0,0,0,0
"32",0,"122A","147A",5,0,0,0,0,0
"33",0,"122A","149A",5,0,0,0,0,0
"34",0,"122A","152A",5,0,0,0,0,0
"35",0,"122A","152B",5,0,0,0,0,0
"36",0,"122A","154C",5,0,0,0,0,0
"37",0,"122A","157B",5,0,0,0,0,0
"38",0,"122A","158",5,0,0,0,0,0
"39",0,"122A","159",5,0,0,0,0,0
"40",0,"122A","165A",5,0,0,0,0,0
"41",0,"122A","168A",5,0,0,0,0,0
"42",0,"122A","170C",5,0,0,0,0,0
"43",0,"122A","41",5,0,0,0,0,0
"44",0,"122A","53",5,0,0,0,0,0
"45",0,"122A","57",5,0,0,0,0,0
"46",0,"122A","67",5,0,0,0,0,0
"47",0,"122A","74",5,0,0,0,0,0
"48",0,"122A","77",5,0,0,0,0,0
"49",0,"126B","122A",5,0,0,0,0,0
"50",0,"126B","126B",5,0,0,0,0,0
"51",0,"126B","135A",5,0,0,0,0,0
"52",0,"126B","135B",5,0,0,0,0,0
"53",0,"126B","137B",5,0,0,0,0,0
"54",0,"126B","144A",5,0,0,0,0,0
"55",0,"126B","145B",5,0,0,0,0,0
"56",0,"126B","147A",5,0,0,0,0,0
"57",0,"126B","149A",5,0,0,0,0,0
"58",0,"126B","152A",5,0,0,0,0,0
"59",0,"126B","152B",5,0,0,0,0,0
"60",0,"126B","154C",5,0,0,0,0,0
"61",0,"126B","157B",5,0,0,0,0,0
"62",0,"126B","158",5,0,0,0,0,0
"63",0,"126B","159",5,0,0,0,0,0
"64",0,"126B","165A",5,0,0,0,0,0
"65",0,"126B","168A",5,0,0,0,0,0
"66",0,"126B","170C",5,0,0,0,0,0
"67",0,"126B","41",5,0,0,0,0,0
"68",0,"126B","53",5,0,0,0,0,0
"69",0,"126B","57",5,0,0,0,0,0
"70",0,"126B","67",5,0,0,0,0,0
"71",0,"126B","74",5,0,0,0,0,0
