"","inoculant","supernatant","time","N","OD","median","sd","se","ci"
"1","122A","100% TY",0,5,0,0,0,0,0
"2","122A","100% TY",24,5,0.0599,0.0564,0.00869166267177921,0.00388702971431915,0.0107921246240798
"3","122A","100% TY",39,5,0.18398,0.1855,0.00900927300063662,0.0040290693714554,0.0111864899348797
"4","122A","100% TY",48,5,0.21764,0.2161,0.00852044599771632,0.00381045928990194,0.0105795310440037
"5","122A","100% TY",62,5,0.319,0.3187,0.00457001094090595,0.00204377102435669,0.00567441805672022
"6","122A","122A",0,5,0,0,0,0,0
"7","122A","126B",0,5,0,0,0,0,0
"8","122A","126B",24,5,0.0639,0.0629,0.0076730046266114,0.0034314719873547,0.0095272936029143
"9","122A","126B",39,5,0.17092,0.1683,0.00957454959776177,0.00428186875090772,0.0118883735345571
"10","122A","126B",48,5,0.215,0.2152,0.0126927144456968,0.00567635446391431,0.0157600865667025
"11","122A","126B",62,5,0.2807,0.2774,0.00801529787344176,0.00358455018098506,0.00995230680433183
"12","122A","135A",0,5,0,0,0,0,0
"13","122A","135A",24,5,0.04068,0.0363,0.00914231918060182,0.00408856943196517,0.011351688586641
"14","122A","135A",39,5,0.10808,0.1048,0.00933445231387466,0.00417449398131079,0.011590253381088
"15","122A","135A",48,5,0.14446,0.1407,0.012313123080681,0.00550659604474488,0.0152887616347335
"16","122A","135A",62,5,0.189,0.1874,0.00811818945332024,0.00363056469436918,0.0100800635747852
"17","122A","135B",0,5,0,0,0,0,0
"18","122A","135B",24,5,0.02848,0.0267,0.00413001210651978,0.00184699756361507,0.00512808734481131
"19","122A","135B",39,5,0.12876,0.1291,0.0110656224406944,0.00494869679814797,0.0137397850023259
"20","122A","135B",48,5,0.15584,0.1549,0.00935376929371256,0.0041831327973183,0.0116142385795067
"21","122A","135B",62,5,0.20878,0.2071,0.00520451726868112,0.0023275308805685,0.00646226172055113
"22","122A","137B",0,5,0,0,0,0,0
"23","122A","137B",24,5,0.04962,0.0445,0.019175035853943,0.00857533672808246,0.0238089516841074
