"","time","supernatant","inoculant","N","comp_ind","median","sd","se","ci"
"1",0,"100% TY","122A",5,NA,NA,NA,NA,NA
"2",0,"100% TY","126B",5,NA,NA,NA,NA,NA
"3",0,"100% TY","135A",5,NA,NA,NA,NA,NA
"4",0,"100% TY","135B",5,NA,NA,NA,NA,NA
"5",0,"100% TY","137B",5,NA,NA,NA,NA,NA
"6",0,"100% TY","144A",5,NA,NA,NA,NA,NA
"7",0,"100% TY","145B",5,NA,NA,NA,NA,NA
"8",0,"100% TY","147A",5,NA,NA,NA,NA,NA
"9",0,"100% TY","149A",5,NA,NA,NA,NA,NA
"10",0,"100% TY","152A",5,NA,NA,NA,NA,NA
"11",0,"100% TY","152B",5,NA,NA,NA,NA,NA
"12",0,"100% TY","154C",5,NA,NA,NA,NA,NA
"13",0,"100% TY","157B",5,NA,NA,NA,NA,NA
"14",0,"100% TY","158",5,NA,NA,NA,NA,NA
"15",0,"100% TY","159",5,NA,NA,NA,NA,NA
"16",0,"100% TY","165A",5,NA,NA,NA,NA,NA
"17",0,"100% TY","168A",5,NA,NA,NA,NA,NA
"18",0,"100% TY","170C",5,NA,NA,NA,NA,NA
"19",0,"100% TY","41",5,NA,NA,NA,NA,NA
"20",0,"100% TY","53",5,NA,NA,NA,NA,NA
"21",0,"100% TY","57",5,NA,NA,NA,NA,NA
"22",0,"100% TY","67",5,NA,NA,NA,NA,NA
"23",0,"100% TY","74",5,NA,NA,NA,NA,NA
"24",0,"100% TY","77",5,NA,NA,NA,NA,NA
"25",0,"122A","122A",5,NA,NA,NA,NA,NA
"26",0,"122A","126B",5,NA,NA,NA,NA,NA
"27",0,"122A","135A",5,NA,NA,NA,NA,NA
"28",0,"122A","135B",5,NA,NA,NA,NA,NA
"29",0,"122A","137B",5,NA,NA,NA,NA,NA
"30",0,"122A","144A",5,NA,NA,NA,NA,NA
"31",0,"122A","145B",5,NA,NA,NA,NA,NA
"32",0,"122A","147A",5,NA,NA,NA,NA,NA
"33",0,"122A","149A",5,NA,NA,NA,NA,NA
"34",0,"122A","152A",5,NA,NA,NA,NA,NA
"35",0,"122A","152B",5,NA,NA,NA,NA,NA
"36",0,"122A","154C",5,NA,NA,NA,NA,NA
"37",0,"122A","157B",5,NA,NA,NA,NA,NA
"38",0,"122A","158",5,NA,NA,NA,NA,NA
"39",0,"122A","159",5,NA,NA,NA,NA,NA
"40",0,"122A","165A",5,NA,NA,NA,NA,NA
"41",0,"122A","168A",5,NA,NA,NA,NA,NA
"42",0,"122A","170C",5,NA,NA,NA,NA,NA
"43",0,"122A","41",5,NA,NA,NA,NA,NA
"44",0,"122A","53",5,NA,NA,NA,NA,NA
"45",0,"122A","57",5,NA,NA,NA,NA,NA
"46",0,"122A","67",5,NA,NA,NA,NA,NA
"47",0,"122A","74",5,NA,NA,NA,NA,NA
"48",0,"122A","77",5,NA,NA,NA,NA,NA
"49",0,"126B","122A",5,NA,NA,NA,NA,NA
"50",0,"126B","126B",5,NA,NA,NA,NA,NA
"51",0,"126B","135A",5,NA,NA,NA,NA,NA
"52",0,"126B","135B",5,NA,NA,NA,NA,NA
"53",0,"126B","137B",5,NA,NA,NA,NA,NA
"54",0,"126B","144A",5,NA,NA,NA,NA,NA
"55",0,"126B","145B",5,NA,NA,NA,NA,NA
"56",0,"126B","147A",5,NA,NA,NA,NA,NA
"57",0,"126B","149A",5,NA,NA,NA,NA,NA
"58",0,"126B","152A",5,NA,NA,NA,NA,NA
"59",0,"126B","152B",5,NA,NA,NA,NA,NA
"60",0,"126B","154C",5,NA,NA,NA,NA,NA
"61",0,"126B","157B",5,NA,NA,NA,NA,NA
"62",0,"126B","158",5,NA,NA,NA,NA,NA
"63",0,"126B","159",5,NA,NA,NA,NA,NA
"64",0,"126B","165A",5,NA,NA,NA,NA,NA
"65",0,"126B","168A",5,NA,NA,NA,NA,NA
"66",0,"126B","170C",5,NA,NA,NA,NA,NA
"67",0,"126B","41",5,NA,NA,NA,NA,NA
"68",0,"126B","53",5,NA,NA,NA,NA,NA
"69",0,"126B","57",5,NA,NA,NA,NA,NA
"70",0,"126B","67",5,NA,NA,NA,NA,NA
"71",0,"126B","74",5,NA,NA,NA,NA,NA
"72",0,"126B","77",5,NA,NA,NA,NA,NA
"73",0,"135A","122A",5,NA,NA,NA,NA,NA
"74",0,"135A","126B",5,NA,NA,NA,NA,NA
"75",0,"135A","135A",5,NA,NA,NA,NA,NA
"76",0,"135A","135B",5,NA,NA,NA,NA,NA
"77",0,"135A","137B",5,NA,NA,NA,NA,NA
"78",0,"135A","144A",5,NA,NA,NA,NA,NA
"79",0,"135A","145B",5,NA,NA,NA,NA,NA
"80",0,"135A","147A",5,NA,NA,NA,NA,NA
"81",0,"135A","149A",5,NA,NA,NA,NA,NA
"82",0,"135A","152A",5,NA,NA,NA,NA,NA
"83",0,"135A","152B",5,NA,NA,NA,NA,NA
"84",0,"135A","154C",5,NA,NA,NA,NA,NA
"85",0,"135A","157B",5,NA,NA,NA,NA,NA
"86",0,"135A","158",5,NA,NA,NA,NA,NA
"87",0,"135A","159",5,NA,NA,NA,NA,NA
"88",0,"135A","165A",5,NA,NA,NA,NA,NA
"89",0,"135A","168A",5,NA,NA,NA,NA,NA
"90",0,"135A","170C",5,NA,NA,NA,NA,NA
"91",0,"135A","41",5,NA,NA,NA,NA,NA
"92",0,"135A","53",5,NA,NA,NA,NA,NA
"93",0,"135A","57",5,NA,NA,NA,NA,NA
"94",0,"135A","67",5,NA,NA,NA,NA,NA
"95",0,"135A","74",5,NA,NA,NA,NA,NA
"96",0,"135A","77",5,NA,NA,NA,NA,NA
"97",0,"135B","122A",5,NA,NA,NA,NA,NA
"98",0,"135B","126B",5,NA,NA,NA,NA,NA
"99",0,"135B","135A",5,NA,NA,NA,NA,NA
"100",0,"135B","135B",5,NA,NA,NA,NA,NA
"101",0,"135B","137B",5,NA,NA,NA,NA,NA
"102",0,"135B","144A",5,NA,NA,NA,NA,NA
"103",0,"135B","145B",5,NA,NA,NA,NA,NA
"104",0,"135B","147A",5,NA,NA,NA,NA,NA
"105",0,"135B","149A",5,NA,NA,NA,NA,NA
"106",0,"135B","152A",5,NA,NA,NA,NA,NA
"107",0,"135B","152B",5,NA,NA,NA,NA,NA
"108",0,"135B","154C",5,NA,NA,NA,NA,NA
"109",0,"135B","157B",5,NA,NA,NA,NA,NA
"110",0,"135B","158",5,NA,NA,NA,NA,NA
"111",0,"135B","159",5,NA,NA,NA,NA,NA
"112",0,"135B","165A",5,NA,NA,NA,NA,NA
"113",0,"135B","168A",5,NA,NA,NA,NA,NA
"114",0,"135B","170C",5,NA,NA,NA,NA,NA
"115",0,"135B","41",5,NA,NA,NA,NA,NA
"116",0,"135B","53",5,NA,NA,NA,NA,NA
"117",0,"135B","57",5,NA,NA,NA,NA,NA
"118",0,"135B","67",5,NA,NA,NA,NA,NA
"119",0,"135B","74",5,NA,NA,NA,NA,NA
"120",0,"135B","77",5,NA,NA,NA,NA,NA
"121",0,"137B","122A",5,NA,NA,NA,NA,NA
"122",0,"137B","126B",5,NA,NA,NA,NA,NA
"123",0,"137B","135A",5,NA,NA,NA,NA,NA
"124",0,"137B","135B",5,NA,NA,NA,NA,NA
"125",0,"137B","137B",5,NA,NA,NA,NA,NA
"126",0,"137B","144A",5,NA,NA,NA,NA,NA
"127",0,"137B","145B",5,NA,NA,NA,NA,NA
"128",0,"137B","147A",5,NA,NA,NA,NA,NA
"129",0,"137B","149A",5,NA,NA,NA,NA,NA
"130",0,"137B","152A",5,NA,NA,NA,NA,NA
"131",0,"137B","152B",5,NA,NA,NA,NA,NA
"132",0,"137B","154C",5,NA,NA,NA,NA,NA
"133",0,"137B","157B",5,NA,NA,NA,NA,NA
"134",0,"137B","158",5,NA,NA,NA,NA,NA
"135",0,"137B","159",5,NA,NA,NA,NA,NA
"136",0,"137B","165A",5,NA,NA,NA,NA,NA
"137",0,"137B","168A",5,NA,NA,NA,NA,NA
"138",0,"137B","170C",5,NA,NA,NA,NA,NA
"139",0,"137B","41",5,NA,NA,NA,NA,NA
"140",0,"137B","53",5,NA,NA,NA,NA,NA
"141",0,"137B","57",5,NA,NA,NA,NA,NA
"142",0,"137B","67",5,NA,NA,NA,NA,NA
"143",0,"137B","74",5,NA,NA,NA,NA,NA
"144",0,"137B","77",5,NA,NA,NA,NA,NA
"145",0,"144A","122A",5,NA,NA,NA,NA,NA
"146",0,"144A","126B",5,NA,NA,NA,NA,NA
"147",0,"144A","135A",5,NA,NA,NA,NA,NA
"148",0,"144A","135B",5,NA,NA,NA,NA,NA
"149",0,"144A","137B",5,NA,NA,NA,NA,NA
"150",0,"144A","144A",5,NA,NA,NA,NA,NA
"151",0,"144A","145B",5,NA,NA,NA,NA,NA
"152",0,"144A","147A",5,NA,NA,NA,NA,NA
"153",0,"144A","149A",5,NA,NA,NA,NA,NA
"154",0,"144A","152A",5,NA,NA,NA,NA,NA
"155",0,"144A","152B",5,NA,NA,NA,NA,NA
"156",0,"144A","154C",5,NA,NA,NA,NA,NA
"157",0,"144A","157B",5,NA,NA,NA,NA,NA
"158",0,"144A","158",5,NA,NA,NA,NA,NA
"159",0,"144A","159",5,NA,NA,NA,NA,NA
"160",0,"144A","165A",5,NA,NA,NA,NA,NA
"161",0,"144A","168A",5,NA,NA,NA,NA,NA
"162",0,"144A","170C",5,NA,NA,NA,NA,NA
"163",0,"144A","41",5,NA,NA,NA,NA,NA
"164",0,"144A","53",5,NA,NA,NA,NA,NA
"165",0,"144A","57",5,NA,NA,NA,NA,NA
"166",0,"144A","67",5,NA,NA,NA,NA,NA
"167",0,"144A","74",5,NA,NA,NA,NA,NA
"168",0,"144A","77",5,NA,NA,NA,NA,NA
"169",0,"145B","122A",5,NA,NA,NA,NA,NA
"170",0,"145B","126B",5,NA,NA,NA,NA,NA
"171",0,"145B","135A",5,NA,NA,NA,NA,NA
"172",0,"145B","135B",5,NA,NA,NA,NA,NA
"173",0,"145B","137B",5,NA,NA,NA,NA,NA
"174",0,"145B","144A",5,NA,NA,NA,NA,NA
"175",0,"145B","145B",5,NA,NA,NA,NA,NA
"176",0,"145B","147A",5,NA,NA,NA,NA,NA
"177",0,"145B","149A",5,NA,NA,NA,NA,NA
"178",0,"145B","152A",5,NA,NA,NA,NA,NA
"179",0,"145B","152B",5,NA,NA,NA,NA,NA
"180",0,"145B","154C",5,NA,NA,NA,NA,NA
"181",0,"145B","157B",5,NA,NA,NA,NA,NA
"182",0,"145B","158",5,NA,NA,NA,NA,NA
"183",0,"145B","159",5,NA,NA,NA,NA,NA
"184",0,"145B","165A",5,NA,NA,NA,NA,NA
"185",0,"145B","168A",5,NA,NA,NA,NA,NA
"186",0,"145B","170C",5,NA,NA,NA,NA,NA
"187",0,"145B","41",5,NA,NA,NA,NA,NA
"188",0,"145B","53",5,NA,NA,NA,NA,NA
"189",0,"145B","57",5,NA,NA,NA,NA,NA
"190",0,"145B","67",5,NA,NA,NA,NA,NA
"191",0,"145B","74",5,NA,NA,NA,NA,NA
"192",0,"145B","77",5,NA,NA,NA,NA,NA
"193",0,"147A","122A",5,NA,NA,NA,NA,NA
"194",0,"147A","126B",5,NA,NA,NA,NA,NA
"195",0,"147A","135A",5,NA,NA,NA,NA,NA
"196",0,"147A","135B",5,NA,NA,NA,NA,NA
"197",0,"147A","137B",5,NA,NA,NA,NA,NA
"198",0,"147A","144A",5,NA,NA,NA,NA,NA
"199",0,"147A","145B",5,NA,NA,NA,NA,NA
"200",0,"147A","147A",5,NA,NA,NA,NA,NA
"201",0,"147A","149A",5,NA,NA,NA,NA,NA
"202",0,"147A","152A",5,NA,NA,NA,NA,NA
"203",0,"147A","152B",5,NA,NA,NA,NA,NA
"204",0,"147A","154C",5,NA,NA,NA,NA,NA
"205",0,"147A","157B",5,NA,NA,NA,NA,NA
"206",0,"147A","158",5,NA,NA,NA,NA,NA
"207",0,"147A","159",5,NA,NA,NA,NA,NA
"208",0,"147A","165A",5,NA,NA,NA,NA,NA
"209",0,"147A","168A",5,NA,NA,NA,NA,NA
"210",0,"147A","170C",5,NA,NA,NA,NA,NA
"211",0,"147A","41",5,NA,NA,NA,NA,NA
"212",0,"147A","53",5,NA,NA,NA,NA,NA
"213",0,"147A","57",5,NA,NA,NA,NA,NA
"214",0,"147A","67",5,NA,NA,NA,NA,NA
"215",0,"147A","74",5,NA,NA,NA,NA,NA
"216",0,"147A","77",5,NA,NA,NA,NA,NA
"217",0,"149A","122A",5,NA,NA,NA,NA,NA
"218",0,"149A","126B",5,NA,NA,NA,NA,NA
"219",0,"149A","135A",5,NA,NA,NA,NA,NA
"220",0,"149A","135B",5,NA,NA,NA,NA,NA
"221",0,"149A","137B",5,NA,NA,NA,NA,NA
"222",0,"149A","144A",5,NA,NA,NA,NA,NA
"223",0,"149A","145B",5,NA,NA,NA,NA,NA
"224",0,"149A","147A",5,NA,NA,NA,NA,NA
"225",0,"149A","149A",5,NA,NA,NA,NA,NA
"226",0,"149A","152A",5,NA,NA,NA,NA,NA
"227",0,"149A","152B",5,NA,NA,NA,NA,NA
"228",0,"149A","154C",5,NA,NA,NA,NA,NA
"229",0,"149A","157B",5,NA,NA,NA,NA,NA
"230",0,"149A","158",5,NA,NA,NA,NA,NA
"231",0,"149A","159",5,NA,NA,NA,NA,NA
"232",0,"149A","165A",5,NA,NA,NA,NA,NA
"233",0,"149A","168A",5,NA,NA,NA,NA,NA
"234",0,"149A","170C",5,NA,NA,NA,NA,NA
"235",0,"149A","41",5,NA,NA,NA,NA,NA
"236",0,"149A","53",5,NA,NA,NA,NA,NA
"237",0,"149A","57",5,NA,NA,NA,NA,NA
"238",0,"149A","67",5,NA,NA,NA,NA,NA
"239",0,"149A","74",5,NA,NA,NA,NA,NA
"240",0,"149A","77",5,NA,NA,NA,NA,NA
"241",0,"152A","122A",5,NA,NA,NA,NA,NA
"242",0,"152A","126B",5,NA,NA,NA,NA,NA
"243",0,"152A","135A",5,NA,NA,NA,NA,NA
"244",0,"152A","135B",5,NA,NA,NA,NA,NA
"245",0,"152A","137B",5,NA,NA,NA,NA,NA
"246",0,"152A","144A",5,NA,NA,NA,NA,NA
"247",0,"152A","145B",5,NA,NA,NA,NA,NA
"248",0,"152A","147A",5,NA,NA,NA,NA,NA
"249",0,"152A","149A",5,NA,NA,NA,NA,NA
"250",0,"152A","152A",5,NA,NA,NA,NA,NA
"251",0,"152A","152B",5,NA,NA,NA,NA,NA
"252",0,"152A","154C",5,NA,NA,NA,NA,NA
"253",0,"152A","157B",5,NA,NA,NA,NA,NA
"254",0,"152A","158",5,NA,NA,NA,NA,NA
"255",0,"152A","159",5,NA,NA,NA,NA,NA
"256",0,"152A","165A",5,NA,NA,NA,NA,NA
"257",0,"152A","168A",5,NA,NA,NA,NA,NA
"258",0,"152A","170C",5,NA,NA,NA,NA,NA
"259",0,"152A","41",5,NA,NA,NA,NA,NA
"260",0,"152A","53",5,NA,NA,NA,NA,NA
"261",0,"152A","57",5,NA,NA,NA,NA,NA
"262",0,"152A","67",5,NA,NA,NA,NA,NA
"263",0,"152A","74",5,NA,NA,NA,NA,NA
"264",0,"152A","77",5,NA,NA,NA,NA,NA
"265",0,"152B","122A",5,NA,NA,NA,NA,NA
"266",0,"152B","126B",5,NA,NA,NA,NA,NA
"267",0,"152B","135A",5,NA,NA,NA,NA,NA
"268",0,"152B","135B",5,NA,NA,NA,NA,NA
"269",0,"152B","137B",5,NA,NA,NA,NA,NA
"270",0,"152B","144A",5,NA,NA,NA,NA,NA
"271",0,"152B","145B",5,NA,NA,NA,NA,NA
"272",0,"152B","147A",5,NA,NA,NA,NA,NA
"273",0,"152B","149A",5,NA,NA,NA,NA,NA
"274",0,"152B","152A",5,NA,NA,NA,NA,NA
"275",0,"152B","152B",5,NA,NA,NA,NA,NA
"276",0,"152B","154C",5,NA,NA,NA,NA,NA
"277",0,"152B","157B",5,NA,NA,NA,NA,NA
"278",0,"152B","158",5,NA,NA,NA,NA,NA
"279",0,"152B","159",5,NA,NA,NA,NA,NA
"280",0,"152B","165A",5,NA,NA,NA,NA,NA
"281",0,"152B","168A",5,NA,NA,NA,NA,NA
"282",0,"152B","170C",5,NA,NA,NA,NA,NA
"283",0,"152B","41",5,NA,NA,NA,NA,NA
"284",0,"152B","53",5,NA,NA,NA,NA,NA
"285",0,"152B","57",5,NA,NA,NA,NA,NA
