,67,77,74,57,53,41,144A,154C,145B,152A,137B,152B,126B,122A,165A,157B,170C,158,147A,168A,159,135A,135B,149A
T3PKS,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,1,1,2,1
Bacteriocin,,,,,,,1,1,1,1,1,1,,1,2,2,1,1,1,1,1,2,1,1
Terpene,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Arylopolyene,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ectoine,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hserlactone,4,4,3,4,4,4,3,4,3,3,2,3,3,4,4,4,4,4,3,5,4,4,4,4
Proteusin,,,,,,,1,1,1,1,1,,,,1,1,,,,1,,1,1,1
Fused,,,,,,,,,,,,,,,,,,,1,,,,,
rhizomideABC (NRPS),1,2,1,1,,1,,,,,,,1,,,,1,,,,,,,
Luminmide (NRPS),,,,,1,,,,,,,,,,,,,,,1,,,,
Bicornutin (NRPS),,,,,,,,,,,,,,,,,,,1,,,,,
Vicibactin (NRPS),,,,,,,,,,,,,,,,,,,,1,1,1,1,1
fhuBCD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
