gene,gsA,gsB,gsC,gsD,gsE
Medium bacteriocin ,100.00,100.00,100.00,100.00,100.00
cinI,100.00,100.00,100.00,100.00,100.00
cinR,100.00,100.00,100.00,100.00,100.00
cinS,100.00,100.00,100.00,100.00,100.00
expR,100.00,100.00,100.00,100.00,100.00
bisR,25.00,21.88,3.45,0.00,0.00
traI,21.88,0.00,1.72,0.00,0.00
traR,25.00,21.88,3.45,0.00,0.00
raiI,0.00,100.00,99.14,0.00,54.55
raiR,0.00,0.00,98.28,0.00,45.45
rhiI,0.00,0.00,78.45,0.00,0.00
rhiR,0.00,0.00,79.31,0.00,0.00
rhiA,0.00,0.00,78.45,0.00,0.00
rhiB,0.00,0.00,78.45,0.00,0.00
rhiC,0.00,0.00,78.45,0.00,0.00
vbsS,37.50,100.00,6.90,60.00,100.00
fhuBCD,100.00,100.00,100.00,100.00,100.00
