"","soft_strain","spot_strain","plate","rep","measurement.x","Area.x","Mean.x","Min.x","Max.x","Feret.x","FeretX.x","FeretY.x","FeretAngle.x","MinFeret.x","measurement.y","Area.y","Mean.y","Min.y","Max.y","Feret.y","FeretX.y","FeretY.y","FeretAngle.y","MinFeret.y","soft_geno","spot_geno","IZ_diff"
"1","122A","122A",1,1,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OC",0
"2","122A","122A",1,3,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OC",0
"3","122A","126B",2,1,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OC",0
"4","122A","126B",2,3,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OC",0
"5","122A","135A",2,1,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OE",0
"6","122A","135A",2,3,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OE",0
"7","122A","135B",2,1,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OE",0
"8","122A","135B",2,3,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OE",0
"9","122A","137B",1,1,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OA",0
"10","122A","137B",1,3,"IZ",NA,NA,NA,NA,0,NA,NA,NA,NA,"spot",NA,NA,NA,NA,0,NA,NA,NA,NA,"OC","OA",0
