"","soft_strain","spot_strain","soft_geno","spot_geno","N","IZ_diff","median","sd","se","ci"
"1","122A","122A","OC","OC",2,0,0,0,0,0
"2","122A","126B","OC","OC",2,0,0,0,0,0
"3","122A","135A","OC","OE",2,0,0,0,0,0
"4","122A","135B","OC","OE",2,0,0,0,0,0
"5","122A","137B","OC","OA",2,0,0,0,0,0
"6","122A","144A","OC","OA",2,0,0,0,0,0
"7","122A","145B","OC","OA",2,0,0,0,0,0
"8","122A","147A","OC","OC",2,0,0,0,0,0
"9","122A","149A","OC","OE",2,0,0,0,0,0
"10","122A","152A","OC","OA",2,0,0,0,0,0
"11","122A","152B","OC","OA",2,0,0,0,0,0
"12","122A","154C","OC","OA",2,0,0,0,0,0
"13","122A","157B","OC","OC",2,0,0,0,0,0
"14","122A","158","OC","OC",2,0,0,0,0,0
"15","122A","159","OC","OE",2,0,0,0,0,0
"16","122A","165A","OC","OC",2,0,0,0,0,0
"17","122A","168A","OC","OE",2,0,0,0,0,0
"18","122A","170C","OC","OC",2,0,0,0,0,0
"19","122A","41","OC","CC",2,0,0,0,0,0
"20","122A","53","OC","CC",2,0,0,0,0,0
"21","122A","57","OC","CC",2,0,0,0,0,0
"22","122A","67","OC","CC",2,0,0,0,0,0
"23","122A","74","OC","CC",2,0,0,0,0,0
"24","122A","77","OC","CC",2,0,0,0,0,0
"25","126B","122A","OC","OC",3,0,0,0,0,0
"26","126B","126B","OC","OC",3,0,0,0,0,0
"27","126B","135A","OC","OE",3,0,0,0,0,0
"28","126B","135B","OC","OE",3,0,0,0,0,0
"29","126B","137B","OC","OA",3,0,0,0,0,0
"30","126B","144A","OC","OA",3,0,0,0,0,0
"31","126B","145B","OC","OA",3,0,0,0,0,0
"32","126B","147A","OC","OC",3,0,0,0,0,0
"33","126B","149A","OC","OE",3,0,0,0,0,0
"34","126B","152A","OC","OA",3,0,0,0,0,0
"35","126B","152B","OC","OA",3,0,0,0,0,0
"36","126B","154C","OC","OA",3,0,0,0,0,0
"37","126B","157B","OC","OC",3,0,0,0,0,0
"38","126B","158","OC","OC",3,0,0,0,0,0
"39","126B","159","OC","OE",3,0,0,0,0,0
"40","126B","165A","OC","OC",3,0,0,0,0,0
"41","126B","168A","OC","OE",3,0,0,0,0,0
"42","126B","170C","OC","OC",3,0,0,0,0,0
"43","126B","41","OC","CC",3,0,0,0,0,0
"44","126B","53","OC","CC",3,0,0,0,0,0
"45","126B","57","OC","CC",3,0,0,0,0,0
"46","126B","67","OC","CC",3,0,0,0,0,0
"47","126B","74","OC","CC",3,0,0,0,0,0
"48","126B","77","OC","CC",3,0,0,0,0,0
"49","135A","122A","OE","OC",3,0,0,0,0,0
"50","135A","126B","OE","OC",3,0,0,0,0,0
"51","135A","135A","OE","OE",3,0,0,0,0,0
"52","135A","135B","OE","OE",3,0,0,0,0,0
"53","135A","137B","OE","OA",3,0,0,0,0,0
"54","135A","144A","OE","OA",3,0,0,0,0,0
"55","135A","145B","OE","OA",3,0,0,0,0,0
"56","135A","147A","OE","OC",3,0,0,0,0,0
"57","135A","149A","OE","OE",3,0,0,0,0,0
"58","135A","152A","OE","OA",3,0,0,0,0,0
"59","135A","152B","OE","OA",3,0,0,0,0,0
"60","135A","154C","OE","OA",3,0,0,0,0,0
"61","135A","157B","OE","OC",3,0,0,0,0,0
"62","135A","158","OE","OC",3,0,0,0,0,0
"63","135A","159","OE","OE",3,0,0,0,0,0
"64","135A","165A","OE","OC",3,0,0,0,0,0
"65","135A","168A","OE","OE",3,0,0,0,0,0
"66","135A","170C","OE","OC",3,0,0,0,0,0
"67","135A","41","OE","CC",3,0,0,0,0,0
"68","135A","53","OE","CC",3,0,0,0,0,0
"69","135A","57","OE","CC",3,0,0,0,0,0
"70","135A","67","OE","CC",3,0,0,0,0,0
"71","135A","74","OE","CC",3,0,0,0,0,0
"72","135A","77","OE","CC",3,0,0,0,0,0
"73","135B","122A","OE","OC",3,0,0,0,0,0
"74","135B","126B","OE","OC",3,0,0,0,0,0
"75","135B","135A","OE","OE",3,0,0,0,0,0
"76","135B","135B","OE","OE",3,0,0,0,0,0
"77","135B","137B","OE","OA",3,0,0,0,0,0
"78","135B","144A","OE","OA",3,0,0,0,0,0
"79","135B","145B","OE","OA",3,0,0,0,0,0
"80","135B","147A","OE","OC",3,0,0,0,0,0
"81","135B","149A","OE","OE",3,0,0,0,0,0
"82","135B","152A","OE","OA",3,0,0,0,0,0
"83","135B","152B","OE","OA",3,0,0,0,0,0
"84","135B","154C","OE","OA",3,0,0,0,0,0
"85","135B","157B","OE","OC",3,0,0,0,0,0
"86","135B","158","OE","OC",3,0,0,0,0,0
"87","135B","159","OE","OE",3,0,0,0,0,0
"88","135B","165A","OE","OC",3,0,0,0,0,0
"89","135B","168A","OE","OE",3,0,0,0,0,0
"90","135B","170C","OE","OC",3,0,0,0,0,0
"91","135B","41","OE","CC",3,0,0,0,0,0
"92","135B","53","OE","CC",3,0,0,0,0,0
"93","135B","57","OE","CC",3,0,0,0,0,0
"94","135B","67","OE","CC",3,0,0,0,0,0
"95","135B","74","OE","CC",3,0,0,0,0,0
"96","135B","77","OE","CC",3,0,0,0,0,0
"97","137B","122A","OA","OC",2,0,0,0,0,0
"98","137B","126B","OA","OC",2,0,0,0,0,0
"99","137B","135A","OA","OE",2,0,0,0,0,0
"100","137B","135B","OA","OE",2,0,0,0,0,0
"101","137B","137B","OA","OA",2,0,0,0,0,0
"102","137B","144A","OA","OA",2,0,0,0,0,0
"103","137B","145B","OA","OA",2,0,0,0,0,0
"104","137B","147A","OA","OC",2,0,0,0,0,0
"105","137B","149A","OA","OE",2,0,0,0,0,0
"106","137B","152A","OA","OA",2,0,0,0,0,0
"107","137B","152B","OA","OA",2,0,0,0,0,0
"108","137B","154C","OA","OA",2,0,0,0,0,0
"109","137B","157B","OA","OC",2,0,0,0,0,0
"110","137B","158","OA","OC",2,0,0,0,0,0
"111","137B","159","OA","OE",2,0,0,0,0,0
"112","137B","165A","OA","OC",2,0,0,0,0,0
"113","137B","168A","OA","OE",2,0,0,0,0,0
"114","137B","170C","OA","OC",2,0,0,0,0,0
"115","137B","41","OA","CC",2,0,0,0,0,0
"116","137B","53","OA","CC",2,0,0,0,0,0
"117","137B","57","OA","CC",2,0,0,0,0,0
"118","137B","67","OA","CC",2,0,0,0,0,0
"119","137B","74","OA","CC",2,0,0,0,0,0
"120","137B","77","OA","CC",2,0,0,0,0,0
"121","144A","122A","OA","OC",3,11.2816666666667,11.144,2.94791185983118,1.70197770582082,7.32301902192269
"122","144A","126B","OA","OC",3,9.16666666666667,10.544,8.56149924565396,4.94298389414509,21.267943145251
