time,supernatant ,sup_geno,inoculant ,inoc_geno,OD_raw,OD,comp_ind
0,100% TY,100% TY,152B,OA,0.1053,0,
0,100% TY,100% TY,152B,OA,0.1057,0,
0,100% TY,100% TY,152B,OA,0.1056,0,
0,100% TY,100% TY,152B,OA,0.1043,0,
0,100% TY,100% TY,152B,OA,0.1044,0,
0,100% TY,100% TY,147A,OC,0.1037,0,
0,100% TY,100% TY,147A,OC,0.1047,0,
0,100% TY,100% TY,147A,OC,0.1059,0,
0,100% TY,100% TY,147A,OC,0.1055,0,
0,100% TY,100% TY,147A,OC,0.1053,0,
0,100% TY,100% TY,137B,OA,0.1051,0,
0,100% TY,100% TY,137B,OA,0.1046,0,
0,100% TY,100% TY,137B,OA,0.104,0,
0,100% TY,100% TY,137B,OA,0.1059,0,
0,100% TY,100% TY,137B,OA,0.1052,0,
0,100% TY,100% TY,158,OC,0.1038,0,
0,100% TY,100% TY,158,OC,0.1049,0,
0,100% TY,100% TY,158,OC,0.1051,0,
0,100% TY,100% TY,158,OC,0.1048,0,
0,100% TY,100% TY,158,OC,0.105,0,
0,100% TY,100% TY,152A,OA,0.1056,0,
0,100% TY,100% TY,152A,OA,0.1049,0,
0,100% TY,100% TY,152A,OA,0.1044,0,
0,100% TY,100% TY,152A,OA,0.1056,0,
0,100% TY,100% TY,152A,OA,0.1047,0,
0,100% TY,100% TY,170C,OC,0.1037,0,
0,100% TY,100% TY,170C,OC,0.1051,0,
0,100% TY,100% TY,170C,OC,0.1041,0,
0,100% TY,100% TY,170C,OC,0.105,0,
0,100% TY,100% TY,170C,OC,0.1044,0,
0,100% TY,100% TY,145B,OA,0.1055,0,
0,100% TY,100% TY,145B,OA,0.1061,0,
0,100% TY,100% TY,145B,OA,0.1053,0,
0,100% TY,100% TY,145B,OA,0.1062,0,
0,100% TY,100% TY,145B,OA,0.1044,0,
0,100% TY,100% TY,157B,OC,0.1045,0,
0,100% TY,100% TY,157B,OC,0.1042,0,
0,100% TY,100% TY,157B,OC,0.1047,0,
0,100% TY,100% TY,157B,OC,0.1045,0,
0,100% TY,100% TY,157B,OC,0.1053,0,
0,100% TY,100% TY,154C,OA,0.1058,0,
0,100% TY,100% TY,154C,OA,0.1054,0,
